"","permeability"
"1",12.52
"2",1.12
"3",19.405
"4",1.73
"5",1.68
"6",0.51
"7",25.365
"8",0.55
"9",39.455
"10",4.91
"11",0.55
"12",1.57
"13",0.06
"14",5.56
"15",3.85
"16",2.43
"17",0.725
"18",1.68
"19",5.275
"20",5.51
"21",3.8
"22",47.665
"23",32.375
"24",6.12
"25",0.805
"26",14.15
"27",20.605
"28",4.195
"29",0.64
"30",2.71
"31",13.675
"32",8.27
"33",3.92
"34",24.015
"35",13.5325
"36",3.61
"37",40.855
"38",19.36
"39",2.37
"40",5.565
"41",8.18
"42",45.68
"43",2.46
"44",4.07
"45",1.225
"46",14.985
"47",13.765
"48",1.21
"49",1.55
"50",7.22
"51",1.765
"52",5.985
"53",8.98
"54",20.74
"55",3.93
"56",3.93
"57",1.8
"58",2.49
"59",8.385
"60",1.71
"61",45.765
"62",4.19
"63",12.905
"64",20.34
"65",2.74
"66",9.12
"67",45.065
"68",28.1
"69",6.935
"70",1.695
"71",6.4275
"72",1.915
"73",47.005
"74",5.355
"75",8.31
"76",1.695
"77",1.125
"78",13.295
"79",1.835
"80",2.59
"81",40.855
"82",8.83
"83",9.51
"84",18.555
"85",18.915
"86",5.765
"87",0.105
"88",13.765
"89",2.02
"90",1.19
"91",2.55
"92",49.765
"93",8.9
"94",5.75
"95",12.49
"96",43.75
"97",11.3125
"98",1.08
"99",2.525
"100",8.62
"101",0.48
"102",17.61
"103",4.38
"104",1.775
"105",1.195
"106",1.705
"107",0.9775
"108",2.73
"109",4.045
"110",4.495
"111",42.06
"112",5.58
"113",42.06
"114",35.43
"115",31.67
"116",48.705
"117",51.415
"118",50.21
"119",31.7075
"120",15.47
"121",30.57
"122",48.51
"123",47.105
"124",48.51
"125",47.105
"126",5.765
"127",0.865
"128",0.375
"129",8.585
"130",19.94
"131",5.525
"132",12.49
"133",1.74
"134",0.54
"135",0.775
"136",0.235
"137",0.82
"138",1.685
"139",0.565
"140",0.755
"141",50.51
"142",55.6
"143",26.3
"144",37.845
"145",0.56
"146",0.56
"147",0.455
"148",7.41
"149",1.7
"150",12.015
"151",1.09
"152",0.53
"153",0.52
"154",0.32
"155",0.75
"156",4.135
"157",1.195
"158",1.085
"159",1.155
"160",0.745
"161",0.705
"162",0.525
"163",1.545
"164",39.555
"165",0.795
