"","Block","sample","dilut","logDens"
"1","A","a","1",-0.23319389
"2","A","a","2",-0.05657035
"3","A","a","3",0.21107097
"4","A","a","4",0.34642257
"5","A","a","5",0.59387918
"6","A","b","1",-0.09871597
"7","A","b","2",0.13190507
"8","A","b","3",0.28292076
"9","A","b","4",0.59387918
"10","A","b","5",0.58834207
"11","A","c","1",-0.0661398
"12","A","c","2",0.14323417
"13","A","c","3",0.37569295
"14","A","c","4",0.5670169
"15","A","c","5",0.67549225
"16","A","d","1",0.06391333
"17","A","d","2",0.26773443
"18","A","d","3",0.47747564
"19","A","d","4",0.64027369
"20","A","d","5",0.58053824
"21","A","e","1",-0.19601488
"22","A","e","2",-0.0429075
"23","A","e","3",0.15357909
"24","A","e","4",0.43696378
"25","A","e","5",0.5080217
"26","A","f","1",-0.07688104
"27","A","f","2",0.12927234
"28","A","f","3",0.36116485
"29","A","f","4",0.5630385
"30","A","f","5",0.62165118
"31","B","a","1",-0.13238919
"32","B","a","2",0.09984533
"33","B","a","3",0.23507212
"34","B","a","4",0.43437645
"35","B","a","5",0.48180867
"36","B","b","1",-0.10536052
"37","B","b","2",0.09075436
"38","B","b","3",0.27459683
"39","B","b","4",0.47000363
"40","B","b","5",0.55732746
"41","B","c","1",-0.03149067
"42","B","c","2",0.15100287
"43","B","c","3",0.37569295
"44","B","c","4",0.49225424
"45","B","c","5",0.5229518
"46","B","d","1",-0.01409892
"47","B","d","2",0.19309663
"48","B","d","3",0.39204209
"49","B","d","4",0.5229518
"50","B","d","5",0.55503388
"51","B","e","1",-0.216913
"52","B","e","2",-0.04499737
"53","B","e","3",0.18979357
"54","B","e","4",0.39608795
"55","B","e","5",0.54754321
"56","B","f","1",-0.14156356
"57","B","f","2",0.09984533
"58","B","f","3",0.34074879
"59","B","f","4",0.4916428
"60","B","f","5",0.60922195
