"","Dog","Side","day","pixel"
"1","A","R",0,1045.8
"2","A","R",1,1044.5
"3","A","R",2,1042.9
"4","A","R",4,1050.4
"5","A","R",6,1045.2
"6","A","R",10,1038.9
"7","A","R",14,1039.8
"8","B","R",0,1041.8
"9","B","R",1,1045.6
"10","B","R",2,1051
"11","B","R",4,1054.1
"12","B","R",6,1052.7
"13","B","R",10,1062
"14","B","R",14,1050.8
"15","C","R",0,1039.8
"16","C","R",4,1082.9
"17","C","R",6,1091.1
"18","C","R",8,1088.5
"19","C","R",10,1099.4
"20","C","R",14,1086.8
"21","C","R",21,1073.6
"22","D","R",0,1034.1
"23","D","R",4,1090.7
"24","D","R",6,1126.4
"25","D","R",8,1108.8
"26","D","R",10,1122.5
"27","D","R",14,1100.7
"28","D","R",21,1102.2
"29","E","R",4,1124.4
"30","E","R",6,1128.2
"31","E","R",8,1124.1
"32","E","R",10,1126.7
"33","E","R",14,1109.9
"34","F","R",4,1094.2
"35","F","R",6,1084.1
"36","F","R",8,1093.9
"37","F","R",10,1082.7
"38","F","R",14,1076.1
"39","G","R",4,1151.3
"40","G","R",6,1160.3
"41","G","R",10,1139.7
"42","G","R",14,1133.2
"43","H","R",4,1077.5
"44","H","R",6,1085.9
"45","H","R",10,1100.8
"46","H","R",14,1083.4
"47","I","R",4,1068.2
"48","I","R",8,1064
"49","J","R",4,1095
"50","J","R",6,1094.7
"51","J","R",8,1081.4
"52","A","L",0,1040.9
"53","A","L",1,1054.1
"54","A","L",2,1051.9
"55","A","L",4,1054.1
"56","A","L",6,1051.3
"57","A","L",10,1051.4
"58","A","L",14,1046.1
"59","B","L",0,1053.6
"60","B","L",1,1052.9
"61","B","L",2,1053.6
"62","B","L",4,1057.1
"63","B","L",6,1064
"64","B","L",10,1065.3
"65","B","L",14,1053.4
"66","C","L",0,1043.9
"67","C","L",4,1069
"68","C","L",6,1082.5
"69","C","L",8,1077.7
"70","C","L",10,1073.5
"71","C","L",14,1076.4
"72","C","L",21,1053.8
"73","D","L",0,1039.9
"74","D","L",4,1114.1
"75","D","L",6,1111.5
"76","D","L",8,1100.3
"77","D","L",10,1124
"78","D","L",14,1113.2
"79","D","L",21,1077
"80","E","L",4,1114.7
"81","E","L",6,1117.6
"82","E","L",8,1128.2
"83","E","L",10,1130.5
"84","E","L",14,1102.2
"85","F","L",4,1106
"86","F","L",6,1121.5
"87","F","L",8,1115.5
"88","F","L",10,1105.2
"89","F","L",14,1092.8
"90","G","L",4,1129.7
"91","G","L",6,1136.2
"92","G","L",10,1108.5
"93","G","L",14,1094.3
"94","H","L",4,1098.8
"95","H","L",6,1103.6
"96","H","L",10,1106.8
"97","H","L",14,1105
"98","I","L",4,1097.2
"99","I","L",8,1099.5
"100","J","L",4,1132.3
"101","J","L",6,1154.5
"102","J","L",8,1161.1
