"","effort","Type","Subject"
"1",12,"T1","A"
"2",15,"T2","A"
"3",12,"T3","A"
"4",10,"T4","A"
"5",10,"T1","B"
"6",14,"T2","B"
"7",13,"T3","B"
"8",12,"T4","B"
"9",7,"T1","C"
"10",14,"T2","C"
"11",13,"T3","C"
"12",9,"T4","C"
"13",7,"T1","D"
"14",11,"T2","D"
"15",10,"T3","D"
"16",9,"T4","D"
"17",8,"T1","E"
"18",11,"T2","E"
"19",8,"T3","E"
"20",7,"T4","E"
"21",9,"T1","F"
"22",11,"T2","F"
"23",11,"T3","F"
"24",10,"T4","F"
"25",8,"T1","G"
"26",12,"T2","G"
"27",12,"T3","G"
"28",11,"T4","G"
"29",7,"T1","H"
"30",11,"T2","H"
"31",8,"T3","H"
"32",7,"T4","H"
"33",9,"T1","I"
"34",13,"T2","I"
"35",10,"T3","I"
"36",8,"T4","I"
