"","dose","bites"
"1",1.5,4.06201920231798
"2",1.4,4.18330013267038
"3",2,3.53553390593274
"4",2.3,3.53553390593274
"5",2.3,3.24037034920393
"6",2.5,3.24037034920393
"7",3.4,3.53553390593274
"8",3.5,3.53553390593274
"9",3.4,3.39116499156263
"10",3.5,3.24037034920393
"11",4.5,3.08220700148449
"12",4.4,2.91547594742265
"13",4.5,2.91547594742265
"14",4.9,2.54950975679639
"15",5,2.54950975679639
"16",5.1,2.34520787991171
"17",5.8,1.22474487139159
"18",6,0.707106781186548
"19",4.7,1.58113883008419
"20",4.8,1.87082869338697
"21",4.6,1.87082869338697
"22",4.8,2.34520787991171
"23",4.5,2.34520787991171
"24",4.1,2.34520787991171
"25",3.5,2.73861278752583
"26",3.3,2.91547594742265
"27",3,2.91547594742265
"28",3,3.24037034920393
"29",2.6,3.08220700148449
"30",2.5,2.73861278752583
"31",2.6,2.73861278752583
"32",2.2,2.73861278752583
"33",2,2.91547594742265
"34",2.2,2.54950975679639
"35",2.2,2.54950975679639
"36",2.5,2.54950975679639
"37",2.6,2.54950975679639
"38",3.1,2.34520787991171
"39",3.1,1.22474487139159
"40",3.2,1.58113883008419
"41",3.2,2.12132034355964
"42",3.5,1.87082869338697
"43",3.6,1.87082869338697
"44",3.6,1.22474487139159
"45",3.5,1.22474487139159
"46",3.6,1.58113883008419
"47",3.9,1.87082869338697
"48",5.2,1.87082869338697
"49",3.7,1.87082869338697
"50",3.1,1.58113883008419
"51",3.9,1.58113883008419
"52",3.8,1.58113883008419
